# 3d54b178-3ebf-4359-abe5-c83f9e50a12d
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_ref_m;y_ref_m;width_right_m;width_left_m;x_normvec_m;y_normvec_m;alpha_m;s_racetraj_m;psi_racetraj_rad;kappa_racetraj_radpm;vx_racetraj_mps;ax_racetraj_mps2;banking_rad;s_ref_m;psi_ref_rad;kappa_ref_radpm;dkappa_ref_radpm2
61.0919874;258.7048588;7.3572307;7.1231693;-0.9998663;-0.0163523;0.4004159;0;-3.1278019;-0.0001117;61.8924618;4.7495832;-0.0415;0;-3.1252396;4.15E-05;-5.2E-06
61.116476;257.2101593;7.357067;7.1261992;-0.9998654;-0.0164086;0.4044151;1.4949282;-3.1280266;-0.0001122;62.0457059;4.7213583;-0.0413;1.4949002;-3.1251833;3.38E-05;-5.1E-06
61.1410484;255.714964;7.3588677;7.1272215;-0.9998646;-0.0164535;0.4087426;2.9903498;-3.1280266;-0.0001122;62.0457059;4.7213583;-0.0411;2.9902973;-3.1251384;2.62E-05;-5.1E-06
61.1656872;254.219291;7.355578;7.1332166;-0.9998641;-0.0164869;0.4133778;4.4862467;-3.1282481;-0.0001092;62.1976651;4.6932215;-0.0408611;4.4861733;-3.125105;1.85E-05;-5.1E-06
61.1903749;252.7231578;7.3543202;7.1370164;-0.9998637;-0.0165088;0.4182988;5.9826008;-3.1284636;-0.0001064;62.3483517;4.6582013;-0.0406727;5.9825101;-3.1250831;1.08E-05;-5.1E-06
61.2150941;251.2265823;7.3529833;7.1408765;-0.9998635;-0.0165192;0.423484;7.4793938;-3.1286743;-0.0001044;62.4975546;4.6311243;-0.040485;7.4792898;-3.1250727;3.2E-06;-5.1E-06
61.2398275;249.7295821;7.3507502;7.1453489;-0.9998636;-0.0165183;0.4289129;8.9766077;-3.1286743;-0.0001044;62.4975546;4.6311243;-0.0403;8.9764942;-3.1250736;-4.5E-06;-5.1E-06
61.2645576;248.2321752;7.3485203;7.1498184;-0.9998638;-0.0165059;0.4345656;10.4742241;-3.1288814;-0.0001029;62.645538;4.6040029;-0.0401;10.4741054;-3.125086;-1.21E-05;-5.1E-06
61.289267;246.7343792;7.3464026;7.1538428;-0.9998642;-0.0164821;0.4404231;11.972225;-3.1290863;-0.0001021;62.7923091;4.5705672;-0.0399273;11.9721052;-3.1251099;-1.97E-05;-5.1E-06
61.3139383;245.2362118;7.3428361;7.1592533;-0.9998647;-0.0164468;0.4464672;13.470592;-3.1292904;-0.0001021;62.9376757;4.5445757;-0.0398;13.4704756;-3.1251451;-2.73E-05;-5.1E-06
61.338554;243.737691;7.3395934;7.164258;-0.9998655;-0.0164002;0.4526806;14.9693069;-3.1292904;-0.0001021;62.9376757;4.5445757;-0.0397;14.9691987;-3.1251917;-3.49E-05;-5.1E-06
61.3630967;242.2388343;7.3365393;7.1688421;-0.9998665;-0.0163421;0.4590468;16.4683515;-3.1294951;-0.0001028;63.0818835;4.518498;-0.0395593;16.4682562;-3.1252498;-4.25E-05;-5.1E-06
61.387549;240.7396596;7.332087;7.1746405;-0.9998676;-0.0162727;0.4655504;17.9677076;-3.1297017;-0.0001041;63.2249377;4.486463;-0.0394726;17.9676303;-3.1253192;-5.01E-05;-5.1E-06
61.4118935;239.2401847;7.3277356;7.1800923;-0.9998689;-0.0161919;0.4721768;19.4673569;-3.1299118;-0.0001062;63.3666582;4.4614949;-0.0394;19.4673029;-3.1254001;-5.77E-05;-5.1E-06
