# def031b8-8187-4b3b-a7b3-fc999fb29f6e
# 0e3f6f80bd8bcd9d7a33a090afc197ddfb1aab32
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2; banking_rad; s_ref_m; psi_ref_rad; kappa_ref_radpm; dkappa_ref_radpm2
296.8706345; 690.6423386; 11.5758896; 3.7176993; -0.6400484; 0.7683346; -0.1583454; 0.0000000; 2.2656578; 0.0021687; 83.0000000; 0.0000000; -0.1571000; 0.0000000; 2.2653575; 0.0021501; -0.0000011
295.7202452; 689.6808817; 11.5912445; 3.7446779; -0.6425208; 0.7662682; -0.1588146; 1.4987545; 2.2699891; 0.0021632; 83.0000000; 0.0000000; -0.1571000; 1.4992654; 2.2685798; 0.0021484; -0.0000011
294.5729588; 688.7157243; 11.6021197; 3.7675791; -0.6449848; 0.7641954; -0.1593183; 2.9975079; 2.2699891; 0.0021632; 83.0000000; 0.0000000; -0.1571000; 2.9985309; 2.2717997; 0.0021468; -0.0000011
293.4287848; 687.7468792; 11.6084549; 3.7868633; -0.6474402; 0.7621162; -0.1598508; 4.4962600; 2.2743094; 0.0021577; 83.0000000; 0.0000000; -0.1571000; 4.4977963; 2.2750172; 0.0021453; -0.0000010
292.2877329; 686.7743590; 11.6110751; 3.8027425; -0.6498872; 0.7600307; -0.1604065; 5.9950107; 2.2786188; 0.0021522; 83.0000000; 0.0000000; -0.1571000; 5.9970618; 2.2782324; 0.0021437; -0.0000010
291.1498126; 685.7981765; 11.6102437; 3.8156582; -0.6523257; 0.7579388; -0.1609796; 7.4937600; 2.2829173; 0.0021468; 83.0000000; 0.0000000; -0.1571000; 7.4963272; 2.2814452; 0.0021422; -0.0000010
290.0150333; 684.8183444; 11.6067203; 3.8256871; -0.6547558; 0.7558405; -0.1615645; 8.9925078; 2.2829173; 0.0021468; 83.0000000; 0.0000000; -0.1571000; 8.9955927; 2.2846558; 0.0021407; -0.0000010
288.8834046; 683.8348753; 11.6010598; 3.8331894; -0.6571774; 0.7537359; -0.1621554; 10.4912540; 2.2872050; 0.0021414; 83.0000000; 0.0000000; -0.1571000; 10.4948581; 2.2878641; 0.0021392; -0.0000010
287.7549360; 682.8477818; 11.5939189; 3.8383433; -0.6595906; 0.7516251; -0.1627466; 11.9899988; 2.2914820; 0.0021361; 83.0000000; 0.0000000; -0.1571000; 11.9941236; 2.2910703; 0.0021377; -0.0000010
286.6296368; 681.8570767; 11.5867401; 3.8425904; -0.6619954; 0.7495079; -0.1633326; 13.4887420; 2.2957483; 0.0021308; 83.0000000; 0.0000000; -0.1571000; 13.4933890; 2.2942742; 0.0021363; -0.0000010
