# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;97.8891914;153.5786109;2.3470541;0.0011731;40.1210046;6.7045501
0.0499996;97.8535157;153.5435794;2.3471127;0.0011730;40.1293255;6.7040821
0.0999993;97.8178420;153.5085458;2.3471713;0.0011730;40.1376464;6.7036141
0.1499989;97.7821704;153.4735101;2.3472299;0.0011729;40.1459672;6.7031461
0.1999986;97.7465009;153.4384723;2.3472886;0.0011728;40.1542881;6.7026780
0.2499982;97.7108334;153.4034324;2.3473472;0.0011727;40.1626089;6.7022100
0.2999978;97.6751679;153.3683905;2.3474058;0.0011726;40.1709298;6.7017420
0.3499975;97.6395045;153.3333464;2.3474644;0.0011726;40.1792507;6.7012740
0.3999971;97.6038431;153.2983003;2.3475230;0.0011725;40.1875715;6.7008060
0.4499967;97.5681838;153.2632521;2.3475816;0.0011724;40.1958924;6.7003380
0.4999964;97.5325266;153.2282018;2.3476402;0.0011723;40.2042133;6.6998700
0.5499960;97.4968714;153.1931493;2.3476988;0.0011723;40.2125341;6.6994020
0.5999957;97.4612183;153.1580949;2.3477574;0.0011722;40.2208550;6.6989339
0.6499953;97.4255672;153.1230383;2.3478160;0.0011721;40.2291758;6.6984659
0.6999949;97.3899182;153.0879796;2.3478745;0.0011720;40.2374967;6.6979979
0.7499946;97.3542712;153.0529188;2.3479331;0.0011720;40.2458176;6.6975299
0.7999942;97.3186263;153.0178560;2.3479917;0.0011719;40.2541384;6.6970619
0.8499938;97.2829834;152.9827911;2.3480503;0.0011718;40.2624593;6.6965939
0.8999935;97.2473426;152.9477240;2.3481089;0.0011718;40.2707802;6.6961259
0.9499931;97.2117038;152.9126549;2.3481674;0.0011717;40.2791010;6.6956579
0.9999928;97.1760671;152.8775837;2.3482260;0.0011716;40.2874219;6.6951898
1.0499924;97.1404325;152.8425104;2.3482846;0.0011716;40.2957427;6.6947218
1.0999920;97.1047999;152.8074351;2.3483431;0.0011715;40.3040636;6.6942538
1.1499917;97.0691693;152.7723576;2.3484017;0.0011714;40.3123845;6.6937858
1.1999913;97.0335408;152.7372781;2.3484602;0.0011714;40.3207053;6.6933178
1.2499909;96.9979144;152.7021964;2.3485188;0.0011713;40.3290262;6.6928498
1.2999906;96.9622900;152.6671127;2.3485774;0.0011713;40.3373471;6.6923818
1.3499902;96.9266677;152.6320269;2.3486359;0.0011712;40.3456679;6.6919138
1.3999899;96.8910474;152.5969390;2.3486945;0.0011711;40.3539888;6.6914457
1.4499895;96.8554292;152.5618490;2.3487530;0.0011711;40.3623096;6.6909777
1.4999891;96.8198130;152.5267570;2.3488116;0.0011710;40.3706305;6.6905097
1.5499888;96.7841989;152.4916628;2.3488701;0.0011710;40.3789514;6.6900417
1.5999884;96.7485869;152.4565666;2.3489286;0.0011709;40.3872722;6.6895737
1.6499881;96.7129769;152.4214683;2.3489872;0.0011709;40.3955931;6.6891057
1.6999877;96.6773689;152.3863679;2.3490457;0.0011708;40.4039140;6.6886377
1.7499873;96.6417630;152.3512654;2.3491043;0.0011708;40.4122348;6.6881697
1.7999870;96.6061592;152.3161608;2.3491628;0.0011707;40.4205557;6.6877016
1.8499866;96.5705574;152.2810542;2.3492213;0.0011707;40.4288765;6.6872336
1.8999862;96.5349577;152.2459454;2.3492799;0.0011706;40.4371974;6.6867656
1.9499859;96.4993600;152.2108346;2.3493384;0.0011706;40.4455183;6.6862976
1.9999855;96.4637644;152.1757217;2.3493969;0.0011705;40.4538365;6.6858283
2.0499852;96.4281708;152.1406067;2.3494554;0.0011705;40.4620665;6.6853152
2.0999848;96.3925793;152.1054897;2.3495139;0.0011704;40.4702966;6.6848021
2.1499844;96.3569899;152.0703705;2.3495725;0.0011704;40.4785267;6.6842890
2.1999841;96.3214025;152.0352493;2.3496310;0.0011703;40.4867568;6.6837760
2.2499837;96.2858171;152.0001260;2.3496895;0.0011703;40.4949868;6.6832629
2.2999833;96.2502339;151.9650006;2.3497480;0.0011702;40.5032169;6.6827498
2.3499830;96.2146526;151.9298731;2.3498065;0.0011702;40.5114470;6.6822367
2.3999826;96.1790735;151.8947435;2.3498650;0.0011701;40.5196771;6.6817236
2.4499823;96.1434963;151.8596119;2.3499235;0.0011701;40.5279071;6.6812106
2.4999819;96.1079213;151.8244782;2.3499820;0.0011700;40.5361372;6.6806975
2.5499815;96.0723483;151.7893424;2.3500405;0.0011700;40.5443673;6.6801844
2.5999812;96.0367773;151.7542045;2.3500990;0.0011700;40.5525973;6.6796713
2.6499808;96.0012084;151.7190645;2.3501575;0.0011699;40.5608274;6.6791582
2.6999804;95.9656416;151.6839225;2.3502160;0.0011699;40.5690575;6.6786452
2.7499801;95.9300768;151.6487783;2.3502745;0.0011698;40.5772876;6.6781321
2.7999797;95.8945140;151.6136321;2.3503330;0.0011698;40.5855176;6.6776190
2.8499794;95.8589534;151.5784838;2.3503915;0.0011697;40.5937477;6.6771059
2.8999790;95.8233948;151.5433335;2.3504500;0.0011697;40.6019778;6.6765929
2.9499786;95.7878382;151.5081810;2.3505085;0.0011696;40.6102079;6.6760798
2.9999783;95.7522837;151.4730265;2.3505669;0.0011696;40.6184379;6.6755667
3.0499779;95.7167312;151.4378699;2.3506254;0.0011696;40.6266680;6.6750536
3.0999776;95.6811808;151.4027112;2.3506839;0.0011695;40.6348981;6.6745405
3.1499772;95.6456325;151.3675504;2.3507424;0.0011695;40.6431282;6.6740275
3.1999768;95.6100862;151.3323876;2.3508008;0.0011694;40.6513582;6.6735144
