# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;-42.3638373;115.6036557;0.4264989;0.0742426;10.8608828;0.6445783
0.0499987;-42.3845994;115.6491196;0.4303226;0.0742637;10.8638341;0.6734165
0.0999974;-42.4055395;115.6945023;0.4341468;0.0742805;10.8667854;0.7022547
0.1499961;-42.4266571;115.7398034;0.4379712;0.0742929;10.8697368;0.7310929
0.1999948;-42.4479513;115.7850226;0.4417952;0.0743009;10.8726881;0.7599311
0.2499935;-42.4694214;115.8301593;0.4456183;0.0743044;10.8756394;0.7887693
0.2999922;-42.4910668;115.8752132;0.4494400;0.0743034;10.8785907;0.8176075
0.3499909;-42.5128867;115.9201837;0.4532599;0.0742977;10.8815420;0.8464456
0.3999896;-42.5348804;115.9650706;0.4570775;0.0742873;10.8844933;0.8752838
0.4499883;-42.5570473;116.0098733;0.4608923;0.0742722;10.8874447;0.9041220
0.4999870;-42.5793865;116.0545914;0.4647038;0.0742522;10.8903960;0.9329602
0.5499857;-42.6018974;116.0992245;0.4685115;0.0742274;10.8933473;0.9617984
0.5999844;-42.6245792;116.1437722;0.4723150;0.0741975;10.8962986;0.9906366
0.6499831;-42.6474313;116.1882340;0.4761137;0.0741627;10.8992499;1.0194748
0.6999818;-42.6704530;116.2326095;0.4799072;0.0741228;10.9022013;1.0483130
0.7499805;-42.6936435;116.2768983;0.4836951;0.0740777;10.9051526;1.0771512
0.7999792;-42.7170020;116.3210999;0.4874768;0.0740274;10.9081039;1.1059894
0.8499779;-42.7405280;116.3652140;0.4912519;0.0739717;10.9110552;1.1348275
0.8999766;-42.7642207;116.4092400;0.4950198;0.0739107;10.9140065;1.1636657
0.9499753;-42.7880793;116.4531775;0.4987802;0.0738443;10.9169579;1.1925039
0.9999740;-42.8121032;116.4970262;0.5025326;0.0737724;10.9199092;1.2213421
1.0499727;-42.8362916;116.5407855;0.5062764;0.0736949;10.9228605;1.2501803
1.0999714;-42.8606439;116.5844551;0.5100118;0.0736119;10.9258118;1.2790185
1.1499701;-42.8851593;116.6280346;0.5137388;0.0735235;10.9287631;1.3078567
1.1999688;-42.9098371;116.6715234;0.5174574;0.0734297;10.9317144;1.3366949
1.2499675;-42.9346766;116.7149212;0.5211678;0.0733305;10.9346658;1.3655331
1.2999663;-42.9596770;116.7582275;0.5248700;0.0732261;10.9376171;1.3943713
